theta1,theta2
0.0,0.0
0.0053129196,6.2768707
0.02139759,6.2578707
0.048454285,6.225958
0.086391926,6.1812773
0.13508654,6.124051
0.1943698,6.0546217
0.26402426,5.973486
0.3437884,5.8813186
0.43336153,5.7789946
0.5324142,5.6675935
0.6405914,5.5484023
0.7575135,5.422902
0.88280106,5.2927103
1.0161078,5.159506
1.1570344,5.025059
1.3052973,4.8910027
1.4606967,4.7588196
1.6228406,4.6300354
1.7908937,4.5063133
1.9627562,4.3899145
2.1323,4.2853246
2.2916322,4.19698
2.4372478,4.1253815
2.570634,4.067743
2.6944,4.0210524
2.8091953,3.9839222
2.9164681,3.954659
3.0184956,3.931307
3.115646,3.913237
3.2077274,3.9002054
3.295788,3.8912725
3.381253,3.8853705
3.464464,3.8821397
3.544771,3.8818028
3.6214406,3.8841949
3.6954603,3.8883688
3.767313,3.8939464
3.8364425,3.9011664
3.9014144,3.9107933
3.960772,3.9235597
4.013797,3.9397616
4.059159,3.9600685
4.0964108,3.9846272
4.126318,4.012874
4.1506596,4.0436497
4.17198,4.075327
4.1912255,4.107316
4.2075872,4.1401615
4.2208056,4.174054
4.230863,4.2090344
4.237614,4.2452374
4.240821,4.282874
4.240563,4.3219414
4.237263,4.362198
4.23102,4.4036393
4.2217216,4.4464235
4.20912,4.4908257
4.1929255,4.5371714
4.173203,4.5855246
4.150429,4.6356206
4.125125,4.687142
4.097536,4.7399874
4.0679708,4.7939897
4.037376,4.848392
4.0064425,4.9026194
3.9753041,4.956575
3.9441175,5.010131
3.913083,5.063106
3.882504,5.1152067
3.852346,5.166462
3.8225667,5.2169094
3.7937775,5.265911
3.7662427,5.3131676
3.7398193,5.3588037
3.7144117,5.4029007
3.6900449,5.4454145
3.6666968,5.486354
3.6441972,5.525895
3.622458,5.5641284
3.6013794,5.601161
3.5808318,5.637139
3.5606768,5.6722198
3.5408587,5.706471
3.521389,5.739883
3.502316,5.7724032
3.4837725,5.8038797
3.465859,5.834197
3.4484968,5.863449
3.4315906,5.8917513
3.4150596,5.919203
3.3988357,5.9458895
3.38286,5.9718857
3.3670812,5.997258
3.3514543,6.022066
3.3359385,6.046364
3.320454,6.0702524
3.3049116,6.0938444
3.2892702,6.117195
3.2735043,6.14034
3.2575905,6.1633115
3.2415066,6.186142
3.225231,6.2088614
3.2087421,6.231499
3.1920192,6.2540846
3.1750414,6.2766457
3.1577876,0.016025066
3.1441333,0.033907175
3.1367073,0.04393387
3.132733,0.049472094
3.12993,0.053286076
3.1273813,0.05648756
3.1248727,0.059338093
3.122321,0.06193924
3.119694,0.06433034
3.1169808,0.0665257
3.1141782,0.068529606
3.1112864,0.070342064
3.108307,0.07196164
3.1052418,0.07338643
3.102093,0.074615
3.098863,0.075645685
3.0955534,0.07647872
3.0921667,0.077115536
3.0887046,0.07756257
3.0851681,0.07783723
3.0815568,0.07798004
3.0778742,0.07805133
3.0741398,0.07809019
3.0703828,0.07810712
3.066628,0.07810521
3.062892,0.078089
3.059187,0.07806349
3.0555239,0.07803106
3.0519116,0.07799339
3.0483572,0.07795119
3.0448663,0.07790518
3.0414433,0.07785559
3.0380912,0.0778029
3.034812,0.077747345
3.0316072,0.07768917
3.0284777,0.07762885
3.0254238,0.07756686
3.0224454,0.077503204
3.0195422,0.077438116
3.0167136,0.077371836
3.0139585,0.0773046
3.011276,0.07723665
3.008665,0.07716799
3.0061243,0.07709885
3.003652,0.07702923
3.0012474,0.07695937
2.9989088,0.07688904
2.9966342,0.07681894
2.994422,0.07674909
2.9922698,0.07667947
2.9901755,0.07661033
2.9881375,0.076541424
2.9861538,0.07647276
2.9842231,0.076404095
2.9823437,0.07633567
2.980514,0.07626724
2.9787326,0.07619882
2.976998,0.07613063
2.9753094,0.07606244
2.973665,0.07599425
2.9720638,0.075926065
2.9705045,0.07585788
2.9689863,0.07578969
2.9675076,0.0757215
2.9660678,0.075653315
2.9646654,0.07558513
2.9632998,0.07551694
2.9619699,0.07544875
2.9606745,0.075380325
2.959413,0.07531214
2.9581845,0.07524371
2.9569879,0.075175285
2.9558222,0.07510686
2.954687,0.07503843
2.9535813,0.07497001
2.9525044,0.07490134
2.9514554,0.074832916
2.9504335,0.07476425
2.949438,0.07469559
2.9484684,0.07462692
2.9475238,0.07455826
2.9466038,0.074489355
2.9457073,0.07442045
2.944834,0.07435155
2.9439833,0.074282646
2.9431543,0.07421374
2.9423468,0.07414484
2.94156,0.07407594
2.9407933,0.074006796
2.940046,0.07393789
2.939318,0.07386899
2.9386084,0.07380009
2.937917,0.073731184
2.937243,0.07366204
2.9365861,0.0735929
2.9359457,0.07352376
2.9353216,0.07345462
2.9347131,0.07338548
2.93412,0.0733161
2.9335415,0.07324672
2.9329774,0.07317734
2.9324274,0.07310796
2.931891,0.07303858
2.9313676,0.0729692
2.9308572,0.07289958
2.9303591,0.07282996
2.9298732,0.07276034
2.929399,0.072690725
2.9289362,0.07262111
2.9284847,0.07255149
2.9280438,0.07248163
2.9276135,0.072411776
2.9271934,0.07234192
2.926783,0.07227206
2.9263823,0.072202206
2.9259908,0.07213235
2.9256084,0.07206249
2.9252348,0.0719924
2.9248695,0.0719223
2.9245126,0.07185221
2.9241638,0.07178211
2.9238226,0.07171202
2.923489,0.07164168
2.9231627,0.07157159
2.9228435,0.071501255
2.9225311,0.07143092
2.9222255,0.07136035
2.9219263,0.07128978
2.9216332,0.071219206
2.9213464,0.071148634
2.9210656,0.07107782
2.9207904,0.07100701
2.9205208,0.0709362
2.9202566,0.07086539
2.9199977,0.070794344
2.9197438,0.070723295
2.9194949,0.07065225
2.9192507,0.0705812
2.9190114,0.07050991
2.9187765,0.07043862
2.918546,0.070367336
2.9183197,0.07029581
2.9180977,0.070224285
2.9178798,0.07015276
2.9176657,0.070081234
2.9174554,0.07000971
2.917249,0.069937944
2.917046,0.06986618
2.9168465,0.06979418
2.9166505,0.069722176
2.916458,0.06965017
2.9162683,0.06957793
2.916082,0.06950569
2.9158986,0.06943345
2.9157183,0.06936097
2.915541,0.06928849
2.9153664,0.069215775
2.9151945,0.06914306
2.9150252,0.06907034
2.9148586,0.06899738
2.9146945,0.06892443
2.9145331,0.06885147
2.914374,0.068778515
2.9142175,0.06870532
2.914063,0.06863189
2.9139109,0.068558455
2.913761,0.06848502
2.913613,0.06841135
2.9134674,0.06833768
2.9133239,0.06826401
2.9131823,0.068190336
2.9130428,0.06811643
2.9129052,0.06804228
2.9127696,0.06796813
2.9126356,0.06789398
2.9125035,0.067819595
2.912373,0.06774521
2.9122446,0.06767082
2.9121177,0.0675962
2.9119925,0.06752157
2.911869,0.06744695
2.911747,0.06737208
2.9116266,0.06729722
2.9115076,0.06722212
2.9113903,0.06714702
2.9112744,0.067071676
2.91116,0.066996336
2.911047,0.06692076
2.9109354,0.06684518
2.9108253,0.0667696
2.9107163,0.06669378
2.9106088,0.066617966
2.9105024,0.06654215
2.9103975,0.06646609
2.9102938,0.06639004
2.8670244,0.11832285
2.780243,0.2220571
2.6925359,0.32580304
2.6036282,0.429605
2.5132508,0.5334768
2.421142,0.63739777
