theta1,theta2
0.0,0.0
0.005579233,6.2765484
0.022234678,6.256858
0.049935818,6.2241673
0.08858132,6.1786346
0.13802624,6.1205115
0.19808269,6.050169
0.26851845,5.9681296
0.3490603,5.8750925
0.43939972,5.771955
0.5392003,5.6598186
0.64810824,5.539983
0.76576614,5.4139175
0.89183474,5.2832127
1.0260377,5.149492
1.1681705,5.014362
1.3180888,4.8793793
1.4757178,4.745994
1.6410432,4.6155157
1.8140452,4.48913
1.9943862,4.3680816
2.178172,4.255792
2.3558726,4.1584096
2.5213215,4.078297
2.6754699,4.012888
2.82129,3.9588265
2.9603972,3.9140847
3.0922377,3.8781502
3.2162402,3.8505917
3.331239,3.831393
3.436449,3.8203511
3.5324328,3.8165765
3.6198635,3.8189945
3.6994452,3.8264093
3.771476,3.8383703
3.8355246,3.8548968
3.8909836,3.876139
3.937462,3.9021525
3.9748745,3.9328532
4.003427,3.9680266
4.0234737,4.0074162
4.03558,4.0506744
4.040641,4.0972776
4.039472,4.146775
4.03256,4.1989465
4.020064,4.2538095
4.0025516,4.311114
3.9809425,4.3703537
3.9560504,4.431075
3.9284403,4.4929833
3.8983316,4.556033
3.8655457,4.620496
3.8298118,4.686737
3.7912953,4.754772
3.7505708,4.824248
3.708413,4.8945856
3.6657262,4.965024
3.6230628,5.0350695
3.5806773,5.104474
3.538679,5.1731167
3.4969373,5.2411118
3.4553204,5.308584
3.4137263,5.3756323
3.3723612,5.442024
3.3317127,5.507205
3.2921758,5.5706987
3.2539122,5.6322765
3.2170389,5.6917596
3.182514,5.747995
3.152305,5.79863
3.1278062,5.8419523
3.108644,5.8783293
3.0937638,5.9089622
3.0824356,5.934696
3.0740933,5.956196
3.0683274,5.9739475
3.065075,5.9880295
3.0648355,5.9978495
3.067806,6.00318
3.0732265,6.004944
3.0798402,6.0048027
3.0868242,6.004163
3.0939548,6.0033846
3.1011717,6.0025496
3.1084478,6.0016966
3.1157706,6.000846
3.123132,6.0000124
3.1305177,5.999218
3.1379154,5.998481
3.145323,5.9978065
